src_pr,tgt_pr,src_task,tgt_task,agent,language,repo_id,shared_files,overlap_frac,merged_at,stratum
2816233687,2826117544,test,fix,Devin,TypeScript,447150280,2,1.0,2025-01-29 12:53:12+00:00,TypeScript::Devin
2973462661,2974595980,feat,fix,Devin,TypeScript,685141528,1,0.5,2025-04-04 23:13:42+00:00,TypeScript::Devin
3074975479,3074968173,docs,fix,OpenAI_Codex,Python,50448254,2,1.0,2025-05-20 01:02:27+00:00,Python::OpenAI_Codex
3080161730,3084752177,test,fix,OpenAI_Codex,TypeScript,463116412,1,0.3333333333333333,2025-05-21 13:06:30+00:00,TypeScript::OpenAI_Codex
3080995529,3084752177,test,fix,OpenAI_Codex,TypeScript,463116412,1,0.5,2025-05-21 17:59:55+00:00,TypeScript::OpenAI_Codex
3081890975,3100822685,feat,fix,OpenAI_Codex,Python,922805069,2,1.0,2025-05-22 03:01:22+00:00,Python::OpenAI_Codex
3087442688,3087666110,feat,fix,OpenAI_Codex,HTML,23236083,1,0.3333333333333333,2025-05-23 20:15:38+00:00,_other_lang::OpenAI_Codex
3087881536,3088420545,test,fix,OpenAI_Codex,Python,922805069,1,1.0,2025-05-24 01:48:00+00:00,Python::OpenAI_Codex
3089267364,3106109887,docs,fix,OpenAI_Codex,Python,922805069,1,0.3333333333333333,2025-05-25 12:28:29+00:00,Python::OpenAI_Codex
3089418093,3100822685,docs,fix,OpenAI_Codex,Python,922805069,1,1.0,2025-05-25 16:31:43+00:00,Python::OpenAI_Codex
3091174597,3189129380,docs,fix,OpenAI_Codex,Python,922805069,2,0.5,2025-05-26 13:10:19+00:00,Python::OpenAI_Codex
3102336394,3081788219,feat,fix,OpenAI_Codex,Python,650377372,62,0.9841269841269841,2025-06-02 20:39:59+00:00,Python::OpenAI_Codex
3107709736,3107750394,refactor,fix,OpenAI_Codex,Python,922805069,1,1.0,2025-06-01 19:14:15+00:00,Python::OpenAI_Codex
3113159534,3113538195,docs,fix,Copilot,TypeScript,470727349,2,0.6666666666666666,2025-06-03 11:12:36+00:00,TypeScript::Copilot
3117511053,3168790865,feat,fix,OpenAI_Codex,Go,985853139,2,1.0,2025-06-04 11:34:44+00:00,Go::OpenAI_Codex
3119554863,3123445857,docs,fix,OpenAI_Codex,Python,922805069,1,1.0,2025-06-05 01:28:45+00:00,Python::OpenAI_Codex
3128500994,3199894033,feat,fix,OpenAI_Codex,HTML,21764480,1,1.0,2025-06-08 16:22:24+00:00,_other_lang::OpenAI_Codex
3134345357,3115430697,fix,fix,Copilot,C#,63984307,15,1.0,2025-06-13 22:35:12+00:00,_other_lang::Copilot
