term,OR_struct_flag,p_struct_flag,OR_struct_fix_flag,p_struct_fix_flag,OR_struct_fix_majority,p_struct_fix_majority
C(agent)[T.Copilot],3.468486960643638,4.481091255262245e-14,6.882344889069162,1.2458147632142456e-09,4.267100364815569,1.2927771464188962e-05
C(agent)[T.Cursor],3.0060902351604364,8.157605424080026e-11,4.290976176220593,7.0318924761918155e-06,2.302989133974966,0.015366786741297172
C(agent)[T.Devin],8.892442173910773,2.432008634397036e-41,8.103573114321996,3.163619001958759e-11,2.9038641852075293,0.0013093156281836884
C(agent)[T.OpenAI_Codex],6.187343201412197,1.1329668170402204e-30,8.974404153069411,2.0969736001211223e-12,2.796354669337818,0.0016974497889302288
C(task_type)[T.chore],0.8197680444687547,0.14767293455483582,0.7489389492041049,0.03873345496721986,0.9959838668341907,0.9869457628845539
C(task_type)[T.ci],1.0633217704648554,0.7144582398994075,1.251343781723881,0.15283772845690205,0.6960998255565396,0.24222841671709372
C(task_type)[T.docs],0.901907793930805,0.36161279656138934,0.7467022143892318,0.007159461942029386,0.7686763093983634,0.18942915564324103
C(task_type)[T.feat],0.946035985298161,0.6128103391803377,0.9442683607197486,0.5857295274967691,1.248558228917831,0.24293148513150098
C(task_type)[T.fix],0.6844351701691758,0.0006005896660211831,1.100852640461113,0.3656959800228299,2.9056586208442354,1.48689360500236e-08
C(task_type)[T.other],0.4364009497939013,0.5045351060486702,1.2618067117305719e-09,0.9990151770705362,6.667258013305925e-09,0.9991092018054122
C(task_type)[T.perf],1.4611259089516382,0.05875535449701418,1.175863508482416,0.38946023528255114,1.3197521939360126,0.40718549251922365
C(task_type)[T.refactor],1.0225756180400176,0.8522817069976019,0.7487001420161602,0.013623867385367998,1.1353480811285928,0.5433766958173418
C(task_type)[T.revert],0.6082331256198608,0.42290759565838554,1.1122472175453866,0.8714310005988821,2.284006069098781,0.30250392685912897
C(task_type)[T.style],0.6813697687145894,0.06001654775350684,0.39678002143635105,0.0001045319174102392,1.2202371957033757,0.5847986431942475
C(task_type)[T.test],0.7316055885859208,0.00925120553506397,0.7553804599879479,0.016569476647968984,1.624054278277446,0.017999343215428072
log_loc_added,0.9423686258035712,5.068651040726245e-13,0.8740887787738788,3.761025359624236e-48,0.9520153831716739,0.00025943657687645013
log_stars,0.8968117550470759,8.472919917808843e-21,0.8778323231209431,1.222409540737556e-21,1.023389867324625,0.18669089159485852
has_tests_in_pr,1.1754840353764575,6.6077702208144294e-06,1.0028902333675842,0.9377735319080096,1.1506814277870827,0.014503535473316826
n_reviews,0.9743652814833274,1.8514764298331088e-05,0.985316743426465,0.06549485804621102,0.9989450616724334,0.909424795794651
