task_type,coef,IRR,p
ci,0.5800742746482537,1.7861710930529469,6.849462564374488e-14
perf,0.14980284624349108,1.161605205321423,0.11411092102231131
docs,0.14523187683424796,1.1563076601445554,0.007176349040478887
feat,-0.07506982697565252,0.9276787070684175,0.15298823783033808
refactor,-0.14217819847203556,0.8674666614784088,0.014519672441737073
chore,-0.1998183888799014,0.818879457189859,0.0036462901763875894
test,-0.3346864856400744,0.7155623902742462,9.643770337280391e-09
fix,-0.39500525914443935,0.6736764962775518,1.2275764530406212e-13
revert,-0.5869397913220769,0.556026240154846,0.10986779724669528
other,-0.7068526715263164,0.49319400083337595,0.35357889572276346
style,-0.926490722969114,0.3959407409587065,5.896592351536323e-17
