feature,gain,split
merge_duration_hours,1173.639009475708,7
files_changed,970.4500350952148,6
log_stars,818.3200883865356,18
forks,664.0799026489258,11
loc_added,442.51507663726807,18
has_tests_in_pr,328.77879428863525,7
language,287.5890998840332,3
task_type,236.41619873046875,2
loc_deleted,189.35019779205322,6
log_loc_added,129.6718988418579,5
n_reviews,127.81419944763184,2
n_test_files,116.95849990844727,3
commenter_diversity,40.63209915161133,1
reviewer_diversity,21.433399200439453,1
agent,0.0,0
n_commits,0.0,0
n_comments,0.0,0
n_approvals,0.0,0
n_changes_requested,0.0,0
log_files_changed,0.0,0
n_bot_comments,0.0,0
stars,0.0,0
merge_month,0.0,0
