feature,gain,split
task_type,2917.0839233398438,61
forks,2459.9280042648315,217
log_stars,2404.82049703598,193
loc_added,1380.2980875968933,135
merge_duration_hours,1301.223843574524,137
language,1166.5632729530334,102
loc_deleted,912.9753189086914,104
files_changed,808.893452167511,81
n_commits,404.20469665527344,44
agent,382.68227100372314,16
commenter_diversity,347.41713094711304,33
stars,334.4076199531555,31
n_comments,300.8344826698303,30
has_tests_in_pr,270.0231308937073,25
n_test_files,243.44137859344482,25
n_bot_comments,222.72518873214722,18
merge_month,192.99295902252197,17
log_files_changed,188.79726219177246,16
n_reviews,183.05169010162354,20
n_approvals,158.75625944137573,17
reviewer_diversity,154.02195835113525,13
log_loc_added,126.76502180099487,15
n_changes_requested,0.0,0
